last syscalls;syscall
"readsyscall(3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0P\237\2\0\0\0\0\0""..., 832)syscall832last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallspread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48last_n_syscallspread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0";"pread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784"
"pread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallspread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48last_n_syscallspread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784";mmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000
"pread64syscall(3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0\3\0\0\0\0\0\0\0""..., 48, 848)syscall48last_n_syscallspread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000";mprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0
"pread64syscall(3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0\302\211\332Pq\2439\235\350\223\322\257\201\326\243\f""..., 68, 896)syscall68last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0";mmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000
"newfstatatsyscall(3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...}, AT_EMPTY_PATH)syscall0last_n_syscallspread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0last_n_syscallsmmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000";mmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000
"pread64syscall(3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0""..., 784, 64)syscall784last_n_syscallsmmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0last_n_syscallsmmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000last_n_syscallsmmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000";mmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000
mmapsyscall(NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0)syscall0x7fcbef4ba000last_n_syscallsmprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0last_n_syscallsmmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000last_n_syscallsmmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000last_n_syscallsmmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000;mmapsyscall(0x7fcbef6d6000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6d6000
mprotectsyscall(0x7fcbef4e2000, 2023424, PROT_NONE)syscall0last_n_syscallsmmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000last_n_syscallsmmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000last_n_syscallsmmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000last_n_syscallsmmapsyscall(0x7fcbef6d6000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6d6000;closesyscall(3)syscall0
mmapsyscall(0x7fcbef4e2000, 1658880, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x28000)syscall0x7fcbef4e2000last_n_syscallsmmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000last_n_syscallsmmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000last_n_syscallsmmapsyscall(0x7fcbef6d6000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6d6000last_n_syscallsclosesyscall(3)syscall0;mmapsyscall(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef4b7000
mmapsyscall(0x7fcbef677000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1bd000)syscall0x7fcbef677000last_n_syscallsmmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000last_n_syscallsmmapsyscall(0x7fcbef6d6000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6d6000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsmmapsyscall(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef4b7000;arch_prctlsyscall(ARCH_SET_FS, 0x7fcbef4b7740)syscall0
mmapsyscall(0x7fcbef6d0000, 24576, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x215000)syscall0x7fcbef6d0000last_n_syscallsmmapsyscall(0x7fcbef6d6000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6d6000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsmmapsyscall(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef4b7000last_n_syscallsarch_prctlsyscall(ARCH_SET_FS, 0x7fcbef4b7740)syscall0;set_tid_addresssyscall(0x7fcbef4b7a10)syscall33345
mmapsyscall(0x7fcbef6d6000, 52816, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef6d6000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsmmapsyscall(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef4b7000last_n_syscallsarch_prctlsyscall(ARCH_SET_FS, 0x7fcbef4b7740)syscall0last_n_syscallsset_tid_addresssyscall(0x7fcbef4b7a10)syscall33345;set_robust_listsyscall(0x7fcbef4b7a20, 24)syscall0
closesyscall(3)syscall0last_n_syscallsmmapsyscall(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef4b7000last_n_syscallsarch_prctlsyscall(ARCH_SET_FS, 0x7fcbef4b7740)syscall0last_n_syscallsset_tid_addresssyscall(0x7fcbef4b7a10)syscall33345last_n_syscallsset_robust_listsyscall(0x7fcbef4b7a20, 24)syscall0;rseqsyscall(0x7fcbef4b80e0, 0x20, 0, 0x53053053)syscall0
mmapsyscall(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0)syscall0x7fcbef4b7000last_n_syscallsarch_prctlsyscall(ARCH_SET_FS, 0x7fcbef4b7740)syscall0last_n_syscallsset_tid_addresssyscall(0x7fcbef4b7a10)syscall33345last_n_syscallsset_robust_listsyscall(0x7fcbef4b7a20, 24)syscall0last_n_syscallsrseqsyscall(0x7fcbef4b80e0, 0x20, 0, 0x53053053)syscall0;mprotectsyscall(0x7fcbef6d0000, 16384, PROT_READ)syscall0
arch_prctlsyscall(ARCH_SET_FS, 0x7fcbef4b7740)syscall0last_n_syscallsset_tid_addresssyscall(0x7fcbef4b7a10)syscall33345last_n_syscallsset_robust_listsyscall(0x7fcbef4b7a20, 24)syscall0last_n_syscallsrseqsyscall(0x7fcbef4b80e0, 0x20, 0, 0x53053053)syscall0last_n_syscallsmprotectsyscall(0x7fcbef6d0000, 16384, PROT_READ)syscall0;mprotectsyscall(0x55f6be63c000, 4096, PROT_READ)syscall0
set_tid_addresssyscall(0x7fcbef4b7a10)syscall33345last_n_syscallsset_robust_listsyscall(0x7fcbef4b7a20, 24)syscall0last_n_syscallsrseqsyscall(0x7fcbef4b80e0, 0x20, 0, 0x53053053)syscall0last_n_syscallsmprotectsyscall(0x7fcbef6d0000, 16384, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x55f6be63c000, 4096, PROT_READ)syscall0;mprotectsyscall(0x7fcbef738000, 8192, PROT_READ)syscall0
set_robust_listsyscall(0x7fcbef4b7a20, 24)syscall0last_n_syscallsrseqsyscall(0x7fcbef4b80e0, 0x20, 0, 0x53053053)syscall0last_n_syscallsmprotectsyscall(0x7fcbef6d0000, 16384, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x55f6be63c000, 4096, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x7fcbef738000, 8192, PROT_READ)syscall0;prlimit64syscall(0, RLIMIT_STACK, NULL, {rlim_cur=8192*1024, rlim_max=RLIM64_INFINITY})syscall0
rseqsyscall(0x7fcbef4b80e0, 0x20, 0, 0x53053053)syscall0last_n_syscallsmprotectsyscall(0x7fcbef6d0000, 16384, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x55f6be63c000, 4096, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x7fcbef738000, 8192, PROT_READ)syscall0last_n_syscallsprlimit64syscall(0, RLIMIT_STACK, NULL, {rlim_cur=8192*1024, rlim_max=RLIM64_INFINITY})syscall0;munmapsyscall(0x7fcbef6e3000, 108635)syscall0
mprotectsyscall(0x7fcbef6d0000, 16384, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x55f6be63c000, 4096, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x7fcbef738000, 8192, PROT_READ)syscall0last_n_syscallsprlimit64syscall(0, RLIMIT_STACK, NULL, {rlim_cur=8192*1024, rlim_max=RLIM64_INFINITY})syscall0last_n_syscallsmunmapsyscall(0x7fcbef6e3000, 108635)syscall0;"getrandomsyscall(""\x9c\xe9\x9b\x75\x66\x2b\xe8\x5c"", 8, GRND_NONBLOCK)syscall8"
"mprotectsyscall(0x55f6be63c000, 4096, PROT_READ)syscall0last_n_syscallsmprotectsyscall(0x7fcbef738000, 8192, PROT_READ)syscall0last_n_syscallsprlimit64syscall(0, RLIMIT_STACK, NULL, {rlim_cur=8192*1024, rlim_max=RLIM64_INFINITY})syscall0last_n_syscallsmunmapsyscall(0x7fcbef6e3000, 108635)syscall0last_n_syscallsgetrandomsyscall(""\x9c\xe9\x9b\x75\x66\x2b\xe8\x5c"", 8, GRND_NONBLOCK)syscall8";brksyscall(NULL)syscall0x55f6bffa6000
"mprotectsyscall(0x7fcbef738000, 8192, PROT_READ)syscall0last_n_syscallsprlimit64syscall(0, RLIMIT_STACK, NULL, {rlim_cur=8192*1024, rlim_max=RLIM64_INFINITY})syscall0last_n_syscallsmunmapsyscall(0x7fcbef6e3000, 108635)syscall0last_n_syscallsgetrandomsyscall(""\x9c\xe9\x9b\x75\x66\x2b\xe8\x5c"", 8, GRND_NONBLOCK)syscall8last_n_syscallsbrksyscall(NULL)syscall0x55f6bffa6000";brksyscall(0x55f6bffc7000)syscall0x55f6bffc7000
"prlimit64syscall(0, RLIMIT_STACK, NULL, {rlim_cur=8192*1024, rlim_max=RLIM64_INFINITY})syscall0last_n_syscallsmunmapsyscall(0x7fcbef6e3000, 108635)syscall0last_n_syscallsgetrandomsyscall(""\x9c\xe9\x9b\x75\x66\x2b\xe8\x5c"", 8, GRND_NONBLOCK)syscall8last_n_syscallsbrksyscall(NULL)syscall0x55f6bffa6000last_n_syscallsbrksyscall(0x55f6bffc7000)syscall0x55f6bffc7000";"openatsyscall(AT_FDCWD, ""/usr/lib/locale/locale-archive"", O_RDONLY|O_CLOEXEC)syscall3"
"munmapsyscall(0x7fcbef6e3000, 108635)syscall0last_n_syscallsgetrandomsyscall(""\x9c\xe9\x9b\x75\x66\x2b\xe8\x5c"", 8, GRND_NONBLOCK)syscall8last_n_syscallsbrksyscall(NULL)syscall0x55f6bffa6000last_n_syscallsbrksyscall(0x55f6bffc7000)syscall0x55f6bffc7000last_n_syscallsopenatsyscall(AT_FDCWD, ""/usr/lib/locale/locale-archive"", O_RDONLY|O_CLOEXEC)syscall3";"newfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=5721376, ...}, AT_EMPTY_PATH)syscall0"
"getrandomsyscall(""\x9c\xe9\x9b\x75\x66\x2b\xe8\x5c"", 8, GRND_NONBLOCK)syscall8last_n_syscallsbrksyscall(NULL)syscall0x55f6bffa6000last_n_syscallsbrksyscall(0x55f6bffc7000)syscall0x55f6bffc7000last_n_syscallsopenatsyscall(AT_FDCWD, ""/usr/lib/locale/locale-archive"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=5721376, ...}, AT_EMPTY_PATH)syscall0";mmapsyscall(NULL, 5721376, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbeef42000
"brksyscall(NULL)syscall0x55f6bffa6000last_n_syscallsbrksyscall(0x55f6bffc7000)syscall0x55f6bffc7000last_n_syscallsopenatsyscall(AT_FDCWD, ""/usr/lib/locale/locale-archive"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=5721376, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 5721376, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbeef42000";closesyscall(3)syscall0
"brksyscall(0x55f6bffc7000)syscall0x55f6bffc7000last_n_syscallsopenatsyscall(AT_FDCWD, ""/usr/lib/locale/locale-archive"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=5721376, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 5721376, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbeef42000last_n_syscallsclosesyscall(3)syscall0";"unamesyscall({sysname=""Linux"", nodename=""master-Lenovo-ThinkBook-15-IIL"", ...})syscall0"
"openatsyscall(AT_FDCWD, ""/usr/lib/locale/locale-archive"", O_RDONLY|O_CLOEXEC)syscall3last_n_syscallsnewfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=5721376, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 5721376, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbeef42000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsunamesyscall({sysname=""Linux"", nodename=""master-Lenovo-ThinkBook-15-IIL"", ...})syscall0";"newfstatatsyscall(1, """", {st_mode=S_IFCHR|0620, st_rdev=makedev(0x88, 0x2), ...}, AT_EMPTY_PATH)syscall0"
"newfstatatsyscall(3, """", {st_mode=S_IFREG|0644, st_size=5721376, ...}, AT_EMPTY_PATH)syscall0last_n_syscallsmmapsyscall(NULL, 5721376, PROT_READ, MAP_PRIVATE, 3, 0)syscall0x7fcbeef42000last_n_syscallsclosesyscall(3)syscall0last_n_syscallsunamesyscall({sysname=""Linux"", nodename=""master-Lenovo-ThinkBook-15-IIL"", ...})syscall0last_n_syscallsnewfstatatsyscall(1, """", {st_mode=S_IFCHR|0620, st_rdev=makedev(0x88, 0x2), ...}, AT_EMPTY_PATH)syscall0";"writesyscall(1, ""Linux\n"", 6)syscall6"
